Labels,Text,Text_Tag,Label_Text
5,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,True
1,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,False
1,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care",False
5,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",True
1,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",False
5,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",True
1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",False
5,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,True
5,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",True
1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",False
1,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare",False
5,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",True
1,"In the past 20 years, Egypt has made great strides in political and democratic reform.","foreign-policy,abc-news-week",False
1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",False
5,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,True
1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes",False
1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration,False
5,I belong to the AFL-CIO.,"candidates-biography,labor",True
5,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",True
5,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns,True
1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,guns,False
1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","foreign-policy,military,terrorism",False
5,Sen. Obama has always had a 100 percent prochoice rating.,abortion,True
5,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",True
1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","education,retirement",False
5,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",True
1,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states",False
5,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service",True
5,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments,True
1,The Air Force wants taxpayers to fund a fantasy football league.,"families,federal-budget,military",False
5,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security,True
1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"congress,terrorism",False
5,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance",True
1,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography,False
5,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,True
1,Barack Obama has never even worked in business.,candidates-biography,False
1,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration",False
1,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","abortion,corrections-and-updates",False
5,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget",True
1,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine",False
1,We have more illegal immigrants here than we did five years ago.,immigration,False
1,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,sports,False
5,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs",True
1,Says Thomas Eric Duncan came into the United States with an elevated temperature.,"ebola,health-care,public-health,transportation",False
5,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women",True
5,Says judges get better benefits at a lower cost than everybody else in the state.,pensions,True
5,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states",True
5,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business",True
1,There are more oil rigs in operation in the United States than the rest of the world combined.,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",False
1,The Obama administration shut down the Amber Alert program because of the government shutdown.,"children,crime,federal-budget",False
5,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","elections,immigration,pundits",True
1,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","pundits,transportation",False
1,Not one Republican has the guts to recognize that climate change is real.,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",False
1,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","crime,homeland-security,immigration",False
1,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers",False
1,Close to 30% of our federal prison population consists of illegal immigrants.,immigration,False
1,Says Rick Scott called education not a core function of the state.,"education,state-budget",False
1,"The Family Research Council, according to some government agencies, is a terrorist group.",terrorism,False
5,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","health-care,taxes",True
5,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"elections,states",True
1,Obamacare is the biggest tax increase in American history.,"corrections-and-updates,federal-budget,health-care,taxes",False
5,You ... said that Barack Obama was not ready to be commander in chief.,candidates-biography,True
5,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance,True
5,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","bipartisanship,job-accomplishments",True
1,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,"job-accomplishments,message-machine-2012,state-finances",False
5,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"foreign-policy,religion,terrorism",True
5,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""","economy,history,workers",True
5,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",iraq,True
5,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care",True
1,Providences port is 200 miles closer to Europe than any other Eastern port.,"economy,infrastructure,trade,transportation",False
5,Says you need a photo ID to purchase Sudafed in Texas.,"elections,legal-issues",True
5,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",federal-budget,True
1,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care,False
1,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court",False
5,Warren (Buffett) still does support me.,economy,True
5,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"candidates-biography,jobs",True
1,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,elections,False
1,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,"criminal-justice,health-care,legal-issues,privacy",False
5,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",crime,True
1,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","education,state-budget,taxes",False
5,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women",True
1,The top 1 percent pay over half of the entire revenue for this country.,taxes,False
1,Says he never said he would keep education funding the same.,"education,state-budget",False
5,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education,True
1,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,israel,False
1,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.","jobs,legal-issues,women",False
1,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.","economy,federal-budget,jobs,transportation",False
5,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,economy,True
1,On using the Strategic Petroleum Reserve.,energy,False
1,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,"abortion,children,families,health-care,women",False
1,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,terrorism,False
5,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,housing,True
5,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",candidates-biography,True
5,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.","candidates-biography,pundits",True
5,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.","labor,pundits,state-budget,abc-news-week",True
1,74 percent of Republicans support the Affordable Care Act.,"health-care,polls",False
1,Says Alex Sink failed Florida homeowners by using predatory lending practices.,corporations,False
1,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",abortion,False
5,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.","autism,children,disability,education,families,immigration,state-budget,state-finances",True
5,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,True
5,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,"bipartisanship,federal-budget",True
1,"Most young Americans right now, theyre not covered by health insurance.",health-care,False
5,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.","economy,job-accomplishments,jobs",True
5,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",iraq,True
1,Cell phone numbers go public this month.,consumer-safety,False
1,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,"county-budget,county-government,debt,transportation",False
1,The Obama administration is unwinding our nations welfare-to-work requirements.,welfare,False
5,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.","state-budget,taxes,transportation",True
1,"If black America were a country, itd be the 15th wealthiest nation in the world.","corrections-and-updates,economy,poverty",False
5,2008 was the deadliest year of the war (in Afghanistan) for American forces.,"afghanistan,military",True
5,Says Amanda Fritz manages less than 5 percent of city operations.,city-government,True
1,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,health-care,False
5,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",state-finances,True
5,On offshore drilling for energy,"energy,voting-record",True
5,I haven't missed a vote since 1993.,history,True
1,Jorge Elorza wants to impose a municipal income tax.,"city-budget,deficit,economy,taxes",False
1,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,"families,gays-and-lesbians,marriage,religion",False
5,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,"foreign-policy,pundits,terrorism",True
5,"Hillary Clinton ""starts off with 47 percent of the country against her.""",elections,True
1,SaysRand Paulhas put out budgets to cut the military in half.,"federal-budget,military",False
5,Says legislative cuts mean Texas is spending on average $500 less per student.,"education,state-budget",True
1,"The fundraising numbers are in, and our grassroots support is unmatched!","campaign-finance,elections",False
1,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,"economy,federal-budget,government-efficiency",False
1,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,"health-care,new-hampshire-2012,abc-news-week",False
5,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.","elections,history",True
5,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade",True
5,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade",True
1,"ISIS camp a few miles from Texas, Mexican authorities confirm.","immigration,military,terrorism",False
1,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care,False
1,Social Security is indeed a Ponzi scheme.,social-security,False
1,The omnibus bill has only $3.8 billion in earmarks.,federal-budget,False
5,Trump proposed enacting the largest tax increase in American history.,"candidates-biography,taxes",True
5,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget,True
5,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation,True
1,Says Kay Bailey Hutchison voted for sanctuary cities.,immigration,False
5,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""","elections,ethics",True
1,John wasn't this raging populist four years ago when he ran for president.,job-accomplishments,False
5,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill",True
1,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,elections,False
1,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.","social-security,veterans",False
1,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.","corporations,financial-regulation,market-regulation,abc-news-week,transportation",False
1,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.","campaign-finance,transparency",False
1,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,"health-care,state-budget",False
1,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,campaign-finance,False
1,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,county-budget,False
1,"Under a bill before the legislature, youd have to go to court to fire an employee.","economy,jobs,labor,legal-issues",False
5,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,transportation,True
5,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",housing,True
1,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",crime,False
5,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.","education,state-budget",True
1,There were more people on welfare than working in 2013.,"economy,jobs,poverty,welfare",False
5,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,candidates-biography,True
5,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.","abortion,taxes",True
1,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,"gays-and-lesbians,marriage",False
1,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",taxes,False
5,Texas leads the nation in the percentage of residents without health insurance.,health-care,True
1,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,immigration,False
1,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,"candidates-biography,taxes",False
5,Says New Hampshire has the third-highest property tax in the country.,"corrections-and-updates,taxes",True
5,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",taxes,True
1,59 percent of Americans today believe that Barack Obama is still a Muslim.,"candidates-biography,diversity,polls",False
1,Carol Shea-Porter wants to increase taxes on small business and job creators.,small-business,False
5,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism",True
1,On whether the United States should intervene in Libya.,"foreign-policy,military",False
5,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.","foreign-policy,polls",True
5,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",crime,True
1,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""","agriculture,candidates-biography",False
5,Americans spend 6.1 billion hours a year on tax preparation.,taxes,True
1,"We are now, for the first time ever, energy independent.","energy,environment,gas-prices,trade",False
5,"Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy",True
5,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,elections,True
1,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.,"crime,voting-record",False
5,On letting Occupy Atlanta protesters stay in Woodruff Park.,"occupy-wall-street,public-safety",True
5,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.","civil-rights,crime,criminal-justice,marijuana",True
1,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,"labor,state-budget",False
1,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.","hunger,population",False
5,Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.,"debt,federal-budget,taxes,voting-record",True
1,"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.","guns,human-rights,trade",False
1,"When we took office, let me remind you, there was virtually no international pressure on Iran.",foreign-policy,False
5,"As governor, I've stood up to ... the big oil companies.",energy,True
1,"Says abortion doctors are flying into this state, performing abortions and flying out.","abortion,health-care,public-health",False
5,Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.,voting-record,True
5,Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term.,"economy,income,workers",True
1,"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.",taxes,False
1,On repeal of Wisconsins smoking ban,public-health,False
5,"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'""",religion,True
5,Says 51 percent of federal tax filers paid zero federal income tax.,taxes,True
1,"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.","job-accomplishments,jobs",False
5,I would be the first Republican senator elected in New Jersey in 41 years.,"congress,elections",True
5,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,climate-change,True
1,"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.",unions,False
1,President Bush never did one interview with the New York Times during his entire presidency.,"bush-administration,pundits,transparency",False
1,"Mr. Trump is self-financing his campaign, so we dont have any donors.",campaign-finance,False
5,"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.",education,True
5,Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.,housing,True
1,The Providence teacher contract is one of the longest in the country.,"education,labor,unions",False
1,Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined.,"deficit,federal-budget,history",False
5,Annual precipitation has increased in Rhode Island by over 12 inches in the last century.,"climate-change,history,science,weather",True
5,The state budget proposal has been submitted on time and [its] the earliest that a governor has done so in over two decades.,"government-efficiency,history,state-budget,state-finances",True
5,Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,elections,True
5,Vietnamese is the third most commonly spoken language in Texas.,"population,states",True
1,"What we have now is the most generous, in my opinion, good time bill in the entire United States.","crime,criminal-justice,legal-issues,public-safety,states",False
1,"The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.",public-health,False
5,Our economy still has three people looking for every job (opening).,"economy,jobs,labor",True
5,Says she got unions to agree to about $10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin.,"county-budget,county-government,labor,unions",True
5,Democrats have lost more than 900 state legislators since Barack Obama has been president.,"candidates-biography,elections",True
1,"Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.",federal-budget,False
1,If Rhode Island does a hybrid [retirement] plan well be the first state in the nation to do this.,"pensions,public-service,retirement,workers",False
5,"Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya.","foreign-policy,military,terrorism",True
5,Failure to raise the debt limit does not force a U.S. default on debt payments.,"deficit,economy,federal-budget",True
1,Democrats in the Legislature in 2009 voted for various pork projects including a $5 million scoreboard for the Milwaukee Bucks.,state-budget,False
1,Turkey is an Arab country.,"foreign-policy,pundits,abc-news-week",False
5,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,public-health,True
1,92 percent of the jobs lost during Barack Obamas first term belonged to women.,"jobs,women",False
5,"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.",education,True
1,We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor.,"public-safety,state-budget,unions",False
1,"The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.","crime,ethics",False
5,Says a highway was closed in El Paso because of bullets flying across the border.,"crime,drugs,homeland-security",True
1,"If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.","economy,families,federal-budget,income,taxes",False
5,"Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.","diversity,elections,population",True
1,"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest.",history,False
1,Jim Renacci voted repeatedly to end Medicare.,"health-care,medicare",False
5,"Says this months special session will cost the state $27,300 a day just for legislators daily living expenses.","government-efficiency,state-finances",True
1,Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.,"homeland-security,terrorism",False
5,Says Oregon is near the top or at the top of the list when it comes to capital gains tax,"state-budget,taxes",True
5,The No. 1 issue that the American people care about is getting America back to work.,"economy,health-care",True
1,Says in 1944 we were in debt more than twice as much as we are now.,"deficit,economy,federal-budget",False
5,Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,economy,True
1,"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas.","corrections-and-updates,jobs",False
1,"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care","abortion,legal-issues,women",False
5,Says veterans disability claims backlog doubled in Obamas first term.,veterans,True
1,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,elections,False
5,Some businesses in Oregon are having to shrink back their businesses as a result of the law.,"corrections-and-updates,health-care",True
1,On abortion,"abortion,corrections-and-updates",False
1,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",abortion,False
1,Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,"crime,families,women",False
5,The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.,science,True
1,I am the first Latina to run for governor of Texas.,"candidates-biography,diversity,elections,history",False
1,Says Every legislative district in the state has at least one craft brewery and countless home brewers.,"Alcohol,economy",False
1,"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",education,False
1,"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset.","bush-administration,foreign-policy,terrorism",False
1,"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",religion,False
5,Rhode Island has the the second-most heavily deployed National Guard in the United States.,"afghanistan,iraq,military,states",True
1,"Says Mahatma Gandhi once said, First they ignore you, then they laugh at you, then they fight you, then you win.",history,False
1,"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",jobs,False
5,"For the average middle-class family, your taxes today are lower than when I took office.","job-accomplishments,taxes",True
5,"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States.","children,human-rights,immigration",True
5,"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.",energy,True
5,Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.,"congress,congressional-rules,ethics,legal-issues,voting-record",True
1,"It was allowed, referring to her email practices.","homeland-security,technology",False
5,The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',economy,True
1,"Our veterans, in many cases, are being treated worse than illegal immigrants.","immigration,veterans",False
5,"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.","federal-budget,infrastructure,transportation",True
5,A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,"federal-budget,foreign-policy",True
1,We spend twice as much per capita on health care as any other nation on Earth.,health-care,False
1,Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,immigration,False
5,Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,elections,True
1,Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,"health-care,privacy,technology",False
1,"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.","children,crime,criminal-justice",False
1,"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",military,False
1,"Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.","federal-budget,military,taxes",False
5,Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.,trade,True
5,The city of Atlanta has either the highest or second-highest average water bills in the country.,"taxes,water",True
5,Speaker Rubio supported gun restrictions that included background checks and waiting periods.,guns,True
1,Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,"children,diversity,education",False
5,We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.,"economy,job-accomplishments,jobs",True
1,"Barack Obama wants to ""unilaterally disarm our nation.""",military,False
1,On an earmark moratorium.,federal-budget,False
