Labels,Text,Text_Tag,Label_Text
1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",False
1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",False
1,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare",False
2,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy,Half-True
2,"At some point in their lives, 99% of women use birth control.",sexuality,Half-True
1,"In the past 20 years, Egypt has made great strides in political and democratic reform.","foreign-policy,abc-news-week",False
1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",False
2,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care,Half-True
1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes",False
1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration,False
2,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,polls,Half-True
1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,guns,False
1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","foreign-policy,military,terrorism",False
2,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",Half-True
2,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",jobs,Half-True
1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","education,retirement",False
2,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","corporations,economy,health-care,public-health,workers",Half-True
2,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes",Half-True
1,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states",False
1,The Air Force wants taxpayers to fund a fantasy football league.,"families,federal-budget,military",False
2,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"crime,guns",Half-True
1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"congress,terrorism",False
1,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography,False
2,Donald Trump has said nuclear proliferation is OK.,nuclear,Half-True
1,Barack Obama has never even worked in business.,candidates-biography,False
2,Says the Arizona immigration law expressly bans racial profiling.,immigration,Half-True
1,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration",False
1,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","abortion,corrections-and-updates",False
2,We (Democrats) have made steady progress creating jobs and improving our schools.,"education,government-efficiency,job-accomplishments,jobs",Half-True
1,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine",False
2,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,"crime,debt,federal-budget,social-security",Half-True
2,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.","gays-and-lesbians,government-regulation,sexuality",Half-True
2,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,civil-rights,Half-True
2,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.","city-government,crime,drugs,government-regulation,marijuana",Half-True
1,We have more illegal immigrants here than we did five years ago.,immigration,False
1,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,sports,False
2,Says Chris Christie vetoed a jobs package of 30 bills.,jobs,Half-True
2,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine",Half-True
2,Barack Obama is in an economy thats only worsened since hes been president of the United States.,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",Half-True
2,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.","economy,job-accomplishments,jobs",Half-True
1,Says Thomas Eric Duncan came into the United States with an elevated temperature.,"ebola,health-care,public-health,transportation",False
2,Gas prices have gone up $2 since Obama took office.,"energy,gas-prices",Half-True
2,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare",Half-True
2,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.","children,crime,education",Half-True
1,There are more oil rigs in operation in the United States than the rest of the world combined.,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",False
2,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",financial-regulation,Half-True
2,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social-security,Half-True
1,The Obama administration shut down the Amber Alert program because of the government shutdown.,"children,crime,federal-budget",False
2,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.","economy,jobs",Half-True
1,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","pundits,transportation",False
1,Not one Republican has the guts to recognize that climate change is real.,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",False
2,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.","economy,income,workers",Half-True
1,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","crime,homeland-security,immigration",False
1,Says Obama health reform law denies millions access to affordable insurance.,"health-care,workers",False
1,Close to 30% of our federal prison population consists of illegal immigrants.,immigration,False
1,Says Rick Scott called education not a core function of the state.,"education,state-budget",False
1,"The Family Research Council, according to some government agencies, is a terrorist group.",terrorism,False
1,Obamacare is the biggest tax increase in American history.,"corrections-and-updates,federal-budget,health-care,taxes",False
1,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,"job-accomplishments,message-machine-2012,state-finances",False
2,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.","campaign-finance,environment",Half-True
2,On how money from a possible lease of the Ohio Turnpike would be used,"infrastructure,transportation",Half-True
2,"The president has had 1,540 of his nominations confirmed, only four defeated.",legal-issues,Half-True
2,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,taxes,Half-True
2,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""","kagan-nomination,military,abc-news-week",Half-True
2,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.","education,federal-budget",Half-True
2,The United States imprisons more than any nation in the world.,criminal-justice,Half-True
1,Providences port is 200 miles closer to Europe than any other Eastern port.,"economy,infrastructure,trade,transportation",False
2,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.,foreign-policy,Half-True
2,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,"jobs,unions",Half-True
1,We now have driven (health care) costs down to the lowest theyve been in 50 years.,health-care,False
2,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""","homeland-security,terrorism,abc-news-week",Half-True
2,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.","stimulus,taxes",Half-True
1,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"health-care,supreme-court",False
2,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,taxes,Half-True
1,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,elections,False
1,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,"criminal-justice,health-care,legal-issues,privacy",False
1,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","education,state-budget,taxes",False
2,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.","candidates-biography,women,workers",Half-True
2,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,"crime,homeland-security,legal-issues,terrorism,abc-news-week",Half-True
2,On legalizing illegal immigrants.,immigration,Half-True
2,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",energy,Half-True
2,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",housing,Half-True
2,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.","economy,federal-budget",Half-True
1,The top 1 percent pay over half of the entire revenue for this country.,taxes,False
2,Chris Christie has not increased the taxes on anyone.,taxes,Half-True
1,Says he never said he would keep education funding the same.,"education,state-budget",False
2,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",medicare,Half-True
1,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,israel,False
2,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.","crime,criminal-justice,drugs,government-regulation,guns,public-safety",Half-True
1,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.","jobs,legal-issues,women",False
1,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.","economy,federal-budget,jobs,transportation",False
1,On using the Strategic Petroleum Reserve.,energy,False
1,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,"abortion,children,families,health-care,women",False
2,"Says Scott Walker wants to ban common forms of birth control, including the pill.","abortion,message-machine",Half-True
1,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,terrorism,False
2,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.","education,infrastructure",Half-True
2,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.","iraq,terrorism",Half-True
2,There are mechanisms in place to shut down the Internet privately.,infrastructure,Half-True
2,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,"federal-budget,social-security",Half-True
2,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.","deficit,federal-budget,medicare,taxes",Half-True
1,74 percent of Republicans support the Affordable Care Act.,"health-care,polls",False
2,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.","crime,economy,education,poverty",Half-True
2,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.","debt,federal-budget",Half-True
1,Says Alex Sink failed Florida homeowners by using predatory lending practices.,corporations,False
1,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",abortion,False
2,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,"economy,job-accomplishments,state-finances",Half-True
2,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.","sports,state-finances",Half-True
2,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",economy,Half-True
2,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,education,Half-True
2,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",criminal-justice,Half-True
2,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,"infrastructure,stimulus,transportation",Half-True
2,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.","economy,taxes",Half-True
2,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.","pundits,taxes",Half-True
1,"Most young Americans right now, theyre not covered by health insurance.",health-care,False
2,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",education,Half-True
2,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.","federal-budget,taxes,wealth",Half-True
2,"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.","florida,states",Half-True
1,Cell phone numbers go public this month.,consumer-safety,False
1,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,"county-budget,county-government,debt,transportation",False
1,The Obama administration is unwinding our nations welfare-to-work requirements.,welfare,False
2,The Redskins Training Camp deal generated $40 million in new private investment in the city.,"city-government,job-accomplishments",Half-True
2,The GOP budget plan would cut nearly a million jobs.,"economy,federal-budget,jobs",Half-True
2,There are more people living in this country who were not born here than at anytime in the history of the country.,immigration,Half-True
2,Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,foreign-policy,Half-True
2,"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",federal-budget,Half-True
1,"If black America were a country, itd be the 15th wealthiest nation in the world.","corrections-and-updates,economy,poverty",False
2,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",education,Half-True
2,"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.","education,new-hampshire-2012",Half-True
2,The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,transportation,Half-True
2,"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",education,Half-True
1,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,health-care,False
2,"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.","crime,guns,legal-issues,public-safety",Half-True
1,Jorge Elorza wants to impose a municipal income tax.,"city-budget,deficit,economy,taxes",False
2,"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",education,Half-True
2,"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",taxes,Half-True
2,I havent raised taxes in the time Ive been the governor of New Jersey.,taxes,Half-True
1,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,"families,gays-and-lesbians,marriage,religion",False
2,Six people in Florida die as a result of (not expanding Medicaid) every day.,"health-care,medicaid,poverty",Half-True
1,SaysRand Paulhas put out budgets to cut the military in half.,"federal-budget,military",False
2,Groups that receive foreign money are spending huge sums to influence American elections.,"campaign-finance,corporations,abc-news-week",Half-True
2,"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",federal-budget,Half-True
2,We know that Saudi Arabia started al-Qaida.,terrorism,Half-True
1,"The fundraising numbers are in, and our grassroots support is unmatched!","campaign-finance,elections",False
2,Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.,taxes,Half-True
2,"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.","candidates-biography,homeland-security,immigration,legal-issues,transportation",Half-True
1,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,"economy,federal-budget,government-efficiency",False
1,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,"health-care,new-hampshire-2012,abc-news-week",False
2,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.","jobs,women",Half-True
2,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.","health-care,veterans",Half-True
1,"ISIS camp a few miles from Texas, Mexican authorities confirm.","immigration,military,terrorism",False
1,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care,False
1,Social Security is indeed a Ponzi scheme.,social-security,False
1,The omnibus bill has only $3.8 billion in earmarks.,federal-budget,False
2,"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",taxes,Half-True
2,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.","government-regulation,public-health",Half-True
2,"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.","federal-budget,jobs",Half-True
2,Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,jobs,Half-True
1,Says Kay Bailey Hutchison voted for sanctuary cities.,immigration,False
2,John Mica voted to borrow $10 trillion.,"debt,federal-budget,message-machine-2012,voting-record",Half-True
2,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.","congress,history,terrorism",Half-True
1,John wasn't this raging populist four years ago when he ran for president.,job-accomplishments,False
1,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,elections,False
1,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.","social-security,veterans",False
2,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,guns,Half-True
1,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.","corporations,financial-regulation,market-regulation,abc-news-week,transportation",False
2,Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,"education,labor,state-budget,state-finances",Half-True
1,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.","campaign-finance,transparency",False
1,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,"health-care,state-budget",False
1,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,campaign-finance,False
2,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.","federal-budget,terrorism",Half-True
1,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,county-budget,False
1,"Under a bill before the legislature, youd have to go to court to fire an employee.","economy,jobs,labor,legal-issues",False
1,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",crime,False
2,George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,"corrections-and-updates,deficit",Half-True
2,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,immigration,Half-True
2,"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.","federal-budget,transportation",Half-True
2,Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,economy,Half-True
2,"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",immigration,Half-True
1,There were more people on welfare than working in 2013.,"economy,jobs,poverty,welfare",False
2,Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,children,Half-True
2,"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",transportation,Half-True
1,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,"gays-and-lesbians,marriage",False
2,Im the only (Republican)candidate that has actually reduced the size of government.,"candidates-biography,state-budget",Half-True
1,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",taxes,False
1,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,immigration,False
2,Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.,"abortion,health-care,women",Half-True
1,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,"candidates-biography,taxes",False
2,"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",trade,Half-True
2,"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.","economy,jobs,message-machine-2012",Half-True
2,The DNC says McCain flip-flopped on whether the Iraq War would be easy.,iraq,Half-True
2,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.","economy,federal-budget,message-machine,stimulus,taxes,voting-record",Half-True
2,"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.",ethics,Half-True
1,59 percent of Americans today believe that Barack Obama is still a Muslim.,"candidates-biography,diversity,polls",False
1,Carol Shea-Porter wants to increase taxes on small business and job creators.,small-business,False
1,On whether the United States should intervene in Libya.,"foreign-policy,military",False
2,99.97 percent of the kids live in poverty that attend Cleveland public schools.,"education,poverty",Half-True
2,"John Kitzhaber created 128,000 new jobs while governor.","economy,job-accomplishments",Half-True
1,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""","agriculture,candidates-biography",False
1,"We are now, for the first time ever, energy independent.","energy,environment,gas-prices,trade",False
2,"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.""","health-care,legal-issues,medicare",Half-True
2,Youre in more trouble if you leave your pet in the car than if you leave your child in the car.,"children,criminal-justice,public-safety",Half-True
1,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.,"crime,voting-record",False
2,What I have put forward does not add a penny to the debt.,debt,Half-True
1,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,"labor,state-budget",False
2,The states have always defined marriage.,"gays-and-lesbians,marriage",Half-True
1,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.","hunger,population",False
2,"John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork.""",federal-budget,Half-True
2,"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.","energy,taxes",Half-True
2,The FCCs net neutrality policy includes whatis essentially a massive tax increase.,"taxes,technology",Half-True
1,"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.","guns,human-rights,trade",False
1,"When we took office, let me remind you, there was virtually no international pressure on Iran.",foreign-policy,False
2,"In the United States, weve had 12 years in a row of wages declining.","economy,jobs",Half-True
2,Charlie Crist has six different positions on ObamaCare.,health-care,Half-True
1,"Says abortion doctors are flying into this state, performing abortions and flying out.","abortion,health-care,public-health",False
2,Weve created more jobs in the United States than every other advanced economy combined since I came into office.,jobs,Half-True
1,"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.",taxes,False
1,On repeal of Wisconsins smoking ban,public-health,False
2,"For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.","disability,state-budget",Half-True
2,"Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee.","candidates-biography,congress,elections",Half-True
2,President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.,immigration,Half-True
1,"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.","job-accomplishments,jobs",False
1,"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.",unions,False
1,President Bush never did one interview with the New York Times during his entire presidency.,"bush-administration,pundits,transparency",False
1,"Mr. Trump is self-financing his campaign, so we dont have any donors.",campaign-finance,False
2,The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.,"federal-budget,military",Half-True
2,The Affordable Care Act is bringing the cost of health care in our country down.,health-care,Half-True
1,The Providence teacher contract is one of the longest in the country.,"education,labor,unions",False
2,"In 1929, the Secretary of State shut down a program that was collecting information to protect America because it was unseemly, but that move led to millions and millions of deaths in World War II.","foreign-policy,history",Half-True
1,Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined.,"deficit,federal-budget,history",False
2,The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.,"health-care,public-health",Half-True
2,"Says Connie Mack initially said he would have voted yes for the Paul Ryan budget plan, and then, you said it was stupid and you would vote no. And then your folks corrected you, and you changed your position again, yes.","candidates-biography,federal-budget",Half-True
1,"What we have now is the most generous, in my opinion, good time bill in the entire United States.","crime,criminal-justice,legal-issues,public-safety,states",False
1,"The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.",public-health,False
